Profile Summary
Generated on: 2024-12-13 21:50:04
Msec since Epoch: 1734144604834
Profiled application: xocl-host
Target platform: Xilinx
Tool version: 2023.1
XRT build version: 2.15.225
Build version branch: 2023.1
Build version hash: adf27adb3cfadc6e4c41d6db814159f1329b24f3
Build version date: 2023-05-03 10:13:38
Target devices: xilinx_u280_gen3x16_xdma_base_1-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,10,0.120347,0.007237,0.0120347,0.040958,
clCreateCommandQueue,1,0.007297,0.007297,0.007297,0.007297,
clCreateContext,1,6.41891,6.41891,6.41891,6.41891,
clCreateKernel,1,44.0932,44.0932,44.0932,44.0932,
clCreateProgramWithBinary,1,5385.62,5385.62,5385.62,5385.62,
clEnqueueMigrateMemObjects,2,0.224134,0.018611,0.112067,0.205523,
clEnqueueTask,1,0.09649,0.09649,0.09649,0.09649,
clFinish,3,4.40842,0.188973,1.46947,3.93726,
clGetDeviceIDs,2,0.001858,0.000636,0.000929,0.001222,
clGetDeviceInfo,2,11.7066,0.002769,5.85328,11.7038,
clGetExtensionFunctionAddress,2,0.00828,0.002078,0.00414,0.006202,
clGetExtensionFunctionAddressForPlatform,2,0.002623,0.000709,0.0013115,0.001914,
clGetPlatformInfo,6,0.003078,0.000355,0.000513,0.000783,
clReleaseCommandQueue,1,0.002459,0.002459,0.002459,0.002459,
clReleaseContext,1,0.156107,0.156107,0.156107,0.156107,
clReleaseDevice,4,0.005594,0.000424,0.0013985,0.003303,
clReleaseKernel,1,0.185918,0.185918,0.185918,0.185918,
clReleaseMemObject,30,0.031023,0.000446,0.0010341,0.002376,
clReleaseProgram,1,1.13211,1.13211,1.13211,1.13211,
clRetainDevice,4,0.006625,0.000586,0.00165625,0.004675,
clRetainMemObject,20,0.016592,0.000383,0.0008296,0.004411,
clSetKernelArg,11,0.017389,0.000802,0.00158082,0.004703,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
bfs_xcel,1,3.90035,3.90035,3.90035,3.90035,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94502609395712,bfs_xcel,0,0,xilinx_u280_gen3x16_xdma_base_1-0,5575.53,3.90035,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,5575.24,0.198885,131.104,659.195,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
2415919104,0,0,5579.64,0.088597,4.096,46.2318,

Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,46.2318,0.293464,4.096,0.088597,0.088597,
context0:1,WRITE,1,659.195,4.18434,131.104,0.198885,0.198885,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),









Guidance Parameters
Parameter,Element,Value,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[2],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[3],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[4],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[5],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HOST[0],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
KERNEL_COUNT,bfs_xcel,1,
TRACE_MEMORY,all,N/A,
PLRAM_SIZE_BYTES,xilinx_u280_gen3x16_xdma_base_1-0,0,
TRACE_BUFFER_FULL,xilinx_u280_gen3x16_xdma_base_1-0,false
MEMORY_TYPE_BIT_WIDTH,xilinx_u280_gen3x16_xdma_base_1-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u280_gen3x16_xdma_base_1-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM,512,
APPLICATION_RUN_TIME_MS,all,5620.28,
MIGRATE_MEM,host,2,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,bfs_xcel,1,
COMMAND_QUEUE_OOO,94502611797600,1,
KERNEL_BUFFER_INFO,bfs_xcel|pe_data0|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,bfs_xcel|pe_data1|HBM[1]|1,16384,
KERNEL_BUFFER_INFO,bfs_xcel|pe_data2|HBM[2]|1,16384,
KERNEL_BUFFER_INFO,bfs_xcel|pe_data3|HBM[3]|1,16384,
KERNEL_BUFFER_INFO,bfs_xcel|pe_data4|HBM[4]|1,16384,
KERNEL_BUFFER_INFO,bfs_xcel|pe_data5|HBM[5]|1,16384,
KERNEL_BUFFER_INFO,bfs_xcel|pe_data6|HBM[6]|1,16384,
KERNEL_BUFFER_INFO,bfs_xcel|pe_data7|HBM[7]|1,16384,
KERNEL_BUFFER_INFO,bfs_xcel|pe_counter|HBM[8]|1,32,
KERNEL_BUFFER_INFO,bfs_xcel|last_frontier|HBM[9]|1,4096,
BUFFER_RD_ACTIVE_TIME_MS,all,0.088597,
BUFFER_WR_ACTIVE_TIME_MS,all,0.198885,
BUFFER_TX_ACTIVE_TIME_MS,all,4.4949,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,fine,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,all,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_status,0,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
XRT_INI_SETTING,AIE_profile_settings.interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_metrics,,Metric set for profiling AI Engine processor modules per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_memory_metrics,,Metric set for profiling AI Engine memory modules per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_memory_tile_metrics,,Metric set for profiling MEM tiles per graph
XRT_INI_SETTING,AIE_profile_settings.tile_based_aie_metrics,,Metric set for profiling AI Engine processor modules per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_aie_memory_metrics,,Metric set for profiling AI Engine memory modules per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_memory_tile_metrics,,Metric set for profiling MEM tiles per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_interface_tile_metrics,,Metric set for profiling AI Engine interface tiles per tile
XRT_INI_SETTING,AIE_trace_settings.start_type,time,Type of delay to use in AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.start_time,0,Start delay for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.start_iteration,1,Iteration count when graph type delay is used in AI Engine Trace
XRT_INI_SETTING,AIE_trace_settings.graph_based_aie_tile_metrics,,Configuration level used for AI Engine trace per graph
XRT_INI_SETTING,AIE_trace_settings.graph_based_memory_tile_metrics,,Configuration level used for MEM tile trace per graph
XRT_INI_SETTING,AIE_trace_settings.tile_based_aie_tile_metrics,,Configuration level used for AI Engine trace per tile
XRT_INI_SETTING,AIE_trace_settings.tile_based_memory_tile_metrics,,Configuration level used for MEM tile trace per tile
XRT_INI_SETTING,AIE_trace_settings.buffer_size,8M,Size of buffer to allocate for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.periodic_offload,1,Periodic offloading of AI Engine trace from memory to host
XRT_INI_SETTING,AIE_trace_settings.reuse_buffer,0,Enable use of circular buffer for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.buffer_offload_interval_us,100,Interval for reading of device AI Engine trace data to host (in us)
XRT_INI_SETTING,AIE_trace_settings.file_dump_interval_s,5,Interval for dumping AI Engine trace files to host (in s)
